IdCruceros,idNacionalidad,"Pais",Fecha,idfecha,idPuerto,"Puerto",TotalPersonas,CantidadVisitas,GastoTotal,GastoTours,GastoAlimentacion,GastoTransporte,GastoShopping,GastoOtros
17662,19,"Brasil",2023-03-14,15778,1,"Montevideo",2,0,48.04,0.0,48.04,0.0,0.0,0.0
17663,19,"Brasil",2023-03-14,15778,1,"Montevideo",3,0,48.04,0.0,48.04,0.0,0.0,0.0
17664,10,"Argentina",2023-01-04,15709,1,"Montevideo",2,0,48.16,0.0,48.16,0.0,0.0,0.0
17665,19,"Brasil",2023-01-31,15736,1,"Montevideo",3,0,48.16,0.0,48.16,0.0,0.0,0.0
17666,19,"Brasil",2023-02-03,15739,1,"Montevideo",2,0,48.28,0.0,48.28,0.0,0.0,0.0
17667,10,"Argentina",2023-02-05,15741,1,"Montevideo",2,0,48.28,0.0,48.28,0.0,0.0,0.0
17668,19,"Brasil",2023-02-14,15750,1,"Montevideo",2,0,48.28,0.0,48.28,0.0,0.0,0.0
17669,19,"Brasil",2022-12-03,15677,1,"Montevideo",1,0,57.13,0.0,57.13,0.0,0.0,0.0
17670,19,"Brasil",2023-03-07,15771,1,"Montevideo",2,0,57.65,0.0,57.65,0.0,0.0,0.0
17671,19,"Brasil",2023-01-12,15717,1,"Montevideo",1,0,57.79,0.0,57.79,0.0,0.0,0.0
17672,19,"Brasil",2023-01-17,15722,1,"Montevideo",2,0,57.79,0.0,57.79,0.0,0.0,0.0
17673,19,"Brasil",2023-01-18,15723,1,"Montevideo",2,0,57.79,0.0,57.79,0.0,0.0,0.0
17674,19,"Brasil",2023-01-18,15723,1,"Montevideo",3,0,57.79,0.0,57.79,0.0,0.0,0.0
17675,19,"Brasil",2023-01-18,15723,1,"Montevideo",3,0,57.79,0.0,57.79,0.0,0.0,0.0
17676,19,"Brasil",2023-01-18,15723,1,"Montevideo",4,0,57.79,0.0,57.79,0.0,0.0,0.0
17677,19,"Brasil",2023-02-01,15737,1,"Montevideo",2,0,57.94,0.0,57.94,0.0,0.0,0.0
17678,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,57.94,0.0,57.94,0.0,0.0,0.0
17679,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,57.94,0.0,57.94,0.0,0.0,0.0
17680,19,"Brasil",2023-01-04,15709,1,"Montevideo",2,0,67.42,0.0,67.42,0.0,0.0,0.0
17681,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,67.59,0.0,67.59,0.0,0.0,0.0
17682,19,"Brasil",2023-02-28,15764,1,"Montevideo",4,0,67.59,0.0,67.59,0.0,0.0,0.0
17683,19,"Brasil",2023-03-14,15778,1,"Montevideo",4,0,76.86,0.0,76.86,0.0,0.0,0.0
17684,19,"Brasil",2023-01-10,15715,1,"Montevideo",3,0,77.06,0.0,77.06,0.0,0.0,0.0
17685,19,"Brasil",2023-01-12,15717,1,"Montevideo",1,0,77.06,0.0,77.06,0.0,0.0,0.0
17686,19,"Brasil",2023-01-14,15719,1,"Montevideo",2,0,77.06,0.0,77.06,0.0,0.0,0.0
17687,19,"Brasil",2023-01-24,15729,1,"Montevideo",2,0,77.06,0.0,77.06,0.0,0.0,0.0
17688,19,"Brasil",2023-02-07,15743,1,"Montevideo",2,0,77.25,0.0,77.25,0.0,0.0,0.0
17689,19,"Brasil",2023-02-28,15764,1,"Montevideo",2,0,86.91,0.0,86.91,0.0,0.0,0.0
17690,19,"Brasil",2023-02-28,15764,1,"Montevideo",3,0,86.91,0.0,86.91,0.0,0.0,0.0
17691,10,"Argentina",2023-02-05,15741,1,"Montevideo",2,0,90.77,0.0,90.77,0.0,0.0,0.0
17692,19,"Brasil",2023-03-07,15771,1,"Montevideo",2,0,96.08,0.0,96.08,0.0,0.0,0.0
17693,19,"Brasil",2023-03-07,15771,1,"Montevideo",2,0,96.08,0.0,96.08,0.0,0.0,0.0
17694,19,"Brasil",2023-01-04,15709,1,"Montevideo",2,0,96.32,0.0,96.32,0.0,0.0,0.0
17695,19,"Brasil",2023-01-10,15715,1,"Montevideo",3,0,96.32,0.0,96.32,0.0,0.0,0.0
17696,19,"Brasil",2023-01-10,15715,1,"Montevideo",2,0,96.32,0.0,96.32,0.0,0.0,0.0
17697,19,"Brasil",2023-01-17,15722,1,"Montevideo",2,0,96.32,0.0,96.32,0.0,0.0,0.0
17698,19,"Brasil",2023-01-17,15722,1,"Montevideo",3,0,96.32,0.0,96.32,0.0,0.0,0.0
17699,19,"Brasil",2023-01-18,15723,1,"Montevideo",3,0,96.32,0.0,96.32,0.0,0.0,0.0
17700,19,"Brasil",2023-01-18,15723,1,"Montevideo",2,0,96.32,0.0,96.32,0.0,0.0,0.0
17701,19,"Brasil",2023-01-18,15723,1,"Montevideo",4,0,96.32,0.0,96.32,0.0,0.0,0.0
17702,19,"Brasil",2023-01-24,15729,1,"Montevideo",2,0,96.32,0.0,96.32,0.0,0.0,0.0
17703,19,"Brasil",2023-02-03,15739,1,"Montevideo",3,0,96.56,0.0,96.56,0.0,0.0,0.0
17704,19,"Brasil",2023-02-03,15739,1,"Montevideo",2,0,96.56,0.0,96.56,0.0,0.0,0.0
17705,19,"Brasil",2023-02-03,15739,1,"Montevideo",2,0,96.56,0.0,96.56,0.0,0.0,0.0
17706,19,"Brasil",2023-02-07,15743,1,"Montevideo",2,0,96.56,0.0,96.56,0.0,0.0,0.0
17707,19,"Brasil",2023-02-28,15764,1,"Montevideo",1,0,96.56,0.0,96.56,0.0,0.0,0.0
17708,19,"Brasil",2023-01-24,15729,1,"Montevideo",6,0,105.95,0.0,105.95,0.0,0.0,0.0
17709,19,"Brasil",2023-03-14,15778,1,"Montevideo",3,0,115.3,0.0,115.3,0.0,0.0,0.0
17710,19,"Brasil",2023-03-17,15781,1,"Montevideo",2,0,115.3,0.0,115.3,0.0,0.0,0.0
17711,19,"Brasil",2023-01-18,15723,1,"Montevideo",2,0,115.58,0.0,115.58,0.0,0.0,0.0
17712,19,"Brasil",2023-02-01,15737,1,"Montevideo",3,0,115.87,0.0,115.87,0.0,0.0,0.0
17713,19,"Brasil",2023-02-01,15737,1,"Montevideo",3,0,115.87,0.0,115.87,0.0,0.0,0.0
17714,19,"Brasil",2023-02-03,15739,1,"Montevideo",3,0,115.87,0.0,115.87,0.0,0.0,0.0
17715,19,"Brasil",2023-02-14,15750,1,"Montevideo",2,0,115.87,0.0,115.87,0.0,0.0,0.0
17716,19,"Brasil",2023-01-10,15715,1,"Montevideo",3,0,125.22,0.0,125.22,0.0,0.0,0.0
17717,19,"Brasil",2023-01-10,15715,1,"Montevideo",3,0,127.14,0.0,127.14,0.0,0.0,0.0
17718,19,"Brasil",2023-01-10,15715,1,"Montevideo",2,0,134.85,0.0,134.85,0.0,0.0,0.0
